organization_formal_name,monitoring_location_identifier,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,characteristic_name,result_measure_value,result_measure_measure_unit_code,result_status_identifier,result_analytical_method_method_name,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code
USGS California Water Science Center,USGS-11303500,2016-02-23,11:00:00,PST,Organic carbon,4.52,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2016-02-23,11:00:00,PST,UV 254,0.14,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11455315,2014-07-16,14:45:00,PST,Suspended Sediment Concentration (SSC),19,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-02-23,11:00:00,PST,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-01-31,15:06:00,PST,Suspended Sediment Concentration (SSC),32,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455143,2016-02-19,10:34:00,PST,Suspended Sediment Concentration (SSC),71,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-11-29,11:02:00,PST,Suspended Sediment Concentration (SSC),30,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-01-31,15:20:00,PST,Suspended Sediment Concentration (SSC),41,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-01-14,12:27:00,PST,Suspended Sediment Concentration (SSC),14,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455350,2018-05-30,08:25:00,PST,Nitrite,0.031,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11304810,2014-08-15,09:00:00,PST,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11313405,2014-02-19,14:09:00,PST,Suspended Sediment Concentration (SSC),5,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11312676,2014-02-19,12:50:00,PST,Suspended Sediment Concentration (SSC),12,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11336680,2014-09-25,12:30:00,PST,Suspended Sediment Concentration (SSC),10,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-02-06,13:45:00,PST,Ammonia and ammonium,NA,NA,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11447650,2014-02-06,13:45:00,PST,Orthophosphate,0.03,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",Long Term Method Detection Level,0.004,mg/l as P
USGS California Water Science Center,USGS-11337190,2014-11-18,13:30:00,PST,Suspended Sediment Concentration (SSC),47,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11312676,2014-08-07,12:15:00,PST,Suspended Sediment Concentration (SSC),5,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11312676,2014-06-04,09:46:00,PST,Suspended Sediment Concentration (SSC),5,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-12-17,11:24:00,PST,Suspended Sediment Concentration (SSC),243,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-12-13,06:55:00,PST,Suspended Sediment Concentration (SSC),26,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455146,2018-01-09,09:15:00,PST,Inorganic nitrogen (nitrate and nitrite),0.04,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11455165,2016-12-07,12:25:00,PST,Suspended Sediment Concentration (SSC),6,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11336680,2016-01-21,08:38:00,PST,Suspended Sediment Concentration (SSC),55,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,Ammonia and ammonium,0.05,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,Nitrite,0.006,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,Inorganic nitrogen (nitrate and nitrite),0.293,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,Orthophosphate,0.073,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,Organic carbon,2.2,mg/l,Accepted,"DOC, CO2 formation & detection",Laboratory Reporting Level,0.3,mg/l
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,UV 254,0.061,units/cm,Accepted,"UV absorbance, wf, 254 nm",Method Detection Limit (MDL),0.00967,units/cm
USGS California Water Science Center,USGS-11455508,2016-07-13,15:30:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.48,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2018-02-14,10:01:00,PST,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-03-13,10:45:00,PST,Orthophosphate,0.028,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2018-03-13,10:45:00,PST,Pheophytin a,3.5,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11455140,2018-09-04,10:39:00,PST,Suspended Sediment Concentration (SSC),38,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447890,2014-12-16,10:15:00,PST,Ammonia and ammonium,0.18,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2014-12-16,10:15:00,PST,Inorganic nitrogen (nitrate and nitrite),0.451,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2014-12-16,10:15:00,PST,Orthophosphate,0.066,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2014-12-16,10:15:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.99,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11455146,2016-01-07,11:30:00,PST,Inorganic nitrogen (nitrate and nitrite),0.51,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11337190,2014-06-03,11:14:00,PST,Suspended Sediment Concentration (SSC),14,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455146,2016-01-07,11:30:00,PST,Pheophytin a,3.8,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11455315,2014-02-14,09:40:00,PST,Suspended Sediment Concentration (SSC),26,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455146,2016-01-07,11:30:00,PST,Chlorophyll a,3.7,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11312676,2014-07-14,13:45:00,PST,Suspended Sediment Concentration (SSC),6,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455142,2018-08-23,12:55:00,PST,Organic carbon,2.6,mg/l,Accepted,"DOC, CO2 formation & detection",Laboratory Reporting Level,0.3,mg/l
USGS California Water Science Center,USGS-11336680,2015-05-22,06:30:00,PST,Suspended Sediment Concentration (SSC),7,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11337190,2015-05-19,08:00:00,PST,Suspended Sediment Concentration (SSC),25,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11336680,2015-02-03,10:45:00,PST,Suspended Sediment Concentration (SSC),3,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447903,2015-03-16,13:30:00,PST,Suspended Sediment Concentration (SSC),11,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-02-18,14:46:00,PST,Suspended Sediment Concentration (SSC),18,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455335,2016-06-28,09:35:00,PST,Ammonia and ammonium,0.06,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11313434,2015-09-14,11:09:00,PST,Nitrite,0.007,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11313434,2015-09-14,11:09:00,PST,Inorganic nitrogen (nitrate and nitrite),0.179,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11455335,2016-06-28,09:35:00,PST,Orthophosphate,0.053,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11313434,2015-09-14,11:09:00,PST,Organic carbon,2.5,mg/l,Accepted,"DOC, CO2 formation & detection",Laboratory Reporting Level,0.3,mg/l
USGS California Water Science Center,USGS-11313434,2015-09-14,11:09:00,PST,UV 254,0.073,units/cm,Accepted,"UV absorbance, wf, 254 nm",Method Detection Limit (MDL),0.00967,units/cm
USGS California Water Science Center,USGS-11455335,2016-06-28,09:35:00,PST,Pheophytin a,3.7,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11455335,2016-06-28,09:35:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.38,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-02-18,14:48:00,PST,Suspended Sediment Concentration (SSC),18,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455335,2016-06-28,09:35:00,PST,Chlorophyll a,10.8,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11303500,2015-01-05,15:20:00,PST,Suspended Sediment Concentration (SSC),12,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455420,2015-06-02,08:00:00,PST,Suspended Sediment Concentration (SSC),18,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-08-20,11:15:00,PST,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-08-20,11:15:00,PST,Inorganic nitrogen (nitrate and nitrite),NA,NA,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-08-20,11:15:00,PST,Orthophosphate,0.02,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-08-20,11:15:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.18,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2016-10-11,13:00:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.76,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11313460,2015-11-24,09:08:00,PST,Suspended Sediment Concentration (SSC),13,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455143,2016-01-11,11:28:00,PST,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447890,2016-02-23,08:45:00,PST,Ammonia and ammonium,0.27,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2016-02-23,08:45:00,PST,Nitrite,0.004,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2016-02-23,08:45:00,PST,Inorganic nitrogen (nitrate and nitrite),0.259,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447890,2016-02-23,08:45:00,PST,Orthophosphate,0.056,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11337080,2018-01-10,11:15:00,PST,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455350,2015-12-08,12:45:00,PST,Ammonia and ammonium,0.45,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11455350,2015-12-08,12:45:00,PST,Nitrite,0.02,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11455350,2015-12-08,12:45:00,PST,Inorganic nitrogen (nitrate and nitrite),0.51,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2016-12-06,14:03:00,PST,Suspended Sediment Concentration (SSC),25,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11337190,2016-01-25,10:44:00,PST,Suspended Sediment Concentration (SSC),54,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-12-29,11:38:00,PST,Suspended Sediment Concentration (SSC),42,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-02-05,12:41:00,PST,Suspended Sediment Concentration (SSC),50,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-03-07,11:50:00,PST,Organic carbon,5.08,mg/l,Accepted,"DOC,0.45um cap,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-12-21,13:00:00,PST,Nitrite,0.003,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-12-21,13:00:00,PST,Inorganic nitrogen (nitrate and nitrite),0.83,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2016-12-29,11:36:00,PST,Suspended Sediment Concentration (SSC),41,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-12-21,13:00:00,PST,Organic carbon,2.57,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-12-21,13:00:00,PST,UV 254,0.07,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11455142,2016-02-18,09:15:00,PST,Ammonia and ammonium,0.03,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11455142,2016-02-18,09:15:00,PST,Nitrite,0.008,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11455142,2016-02-18,09:15:00,PST,Inorganic nitrogen (nitrate and nitrite),0.55,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11455140,2018-08-23,09:42:00,PST,Orthophosphate,0.126,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11455142,2016-02-18,09:15:00,PST,Pheophytin a,0.9,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11455142,2016-02-18,09:15:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.95,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11455142,2016-02-18,09:15:00,PST,Chlorophyll a,1.7,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11455140,2018-08-23,09:42:00,PST,UV 254,2.7,L/mgDOC*m,Accepted,"SUVA, wf, calculation",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2016-11-19,06:50:00,PST,Suspended Sediment Concentration (SSC),14,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-02-19,12:30:00,PST,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-19,12:30:00,PST,Inorganic nitrogen (nitrate and nitrite),0.27,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-19,12:30:00,PST,Orthophosphate,0.04,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-19,12:30:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.45,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11455478,2016-03-08,09:30:00,PST,Nitrite,0.01,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-02-18,14:49:00,PST,Suspended Sediment Concentration (SSC),15,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455315,2018-01-09,14:18:00,PST,Suspended Sediment Concentration (SSC),9,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-11-15,10:25:00,PST,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11312685,2015-10-21,14:02:00,PST,Ammonia and ammonium,0.02,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11312685,2015-10-21,14:02:00,PST,Nitrite,0.006,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11455350,2016-01-05,10:15:00,PST,Ammonia and ammonium,0.38,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11312685,2015-10-21,14:02:00,PST,Orthophosphate,0.099,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11312685,2015-10-21,14:02:00,PST,Organic carbon,2.6,mg/l,Accepted,"DOC, CO2 formation & detection",Laboratory Reporting Level,0.3,mg/l
USGS California Water Science Center,USGS-11455350,2016-01-05,10:15:00,PST,Orthophosphate,0.08,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11312685,2015-10-21,14:02:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.46,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11312685,2015-10-21,14:02:00,PST,UV 254,2.9,L/mgDOC*m,Accepted,"SUVA, wf, calculation",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,Nitrite,0.003,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,Inorganic nitrogen (nitrate and nitrite),0.25,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,Orthophosphate,0.04,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,Organic carbon,2.7,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,UV 254,0.09,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.44,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,UV 254,3.3,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-02-20,10:20:00,PST,Suspended Sediment Concentration (SSC),32,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-02-09,11:30:00,PST,UV 254,0.21,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11303500,2016-02-09,11:30:00,PST,UV 254,3.2,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11455335,2015-03-24,11:51:00,PST,Suspended Sediment Concentration (SSC),20,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11336790,2015-04-14,09:15:00,PST,Suspended Sediment Concentration (SSC),24,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11337190,2016-12-13,14:00:00,PST,Pheophytin a,4.7,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11337190,2016-12-13,14:00:00,PST,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.94,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11337190,2016-12-13,14:00:00,PST,Chlorophyll a,2.5,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
USGS California Water Science Center,USGS-11313431,2016-07-13,13:00:00,PST,Ammonia and ammonium,NA,NA,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11313431,2016-07-13,13:00:00,PST,Nitrite,0.003,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11313431,2016-07-13,13:00:00,PST,Inorganic nitrogen (nitrate and nitrite),0.043,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11313431,2016-07-13,13:00:00,PST,Orthophosphate,0.057,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11313431,2016-07-13,13:00:00,PST,Organic carbon,2.3,mg/l,Accepted,"DOC, CO2 formation & detection",Laboratory Reporting Level,0.3,mg/l
USGS California Water Science Center,USGS-11455146,2015-12-17,09:15:00,PST,Ammonia and ammonium,0.02,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11455146,2015-12-17,09:15:00,PST,Nitrite,0.004,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11455146,2015-12-17,09:15:00,PST,Inorganic nitrogen (nitrate and nitrite),0.16,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11313440,2015-09-10,09:02:00,PST,Ammonia and ammonium,0.02,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2016-12-27,13:25:00,PST,Suspended Sediment Concentration (SSC),77,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-02-05,12:37:00,PST,Suspended Sediment Concentration (SSC),49,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11313240,2016-01-20,13:36:00,PST,Suspended Sediment Concentration (SSC),23,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-12-06,13:40:00,PST,Suspended Sediment Concentration (SSC),12,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455146,2016-03-10,11:44:00,PST,Suspended Sediment Concentration (SSC),105,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-12-05,15:10:00,PST,Suspended Sediment Concentration (SSC),13,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455142,2015-11-17,09:00:00,PST,Inorganic nitrogen (nitrate and nitrite),0.45,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
